z = 116.743

:                  x     v     b      a       c       :=
July      1  1    0     0     51.2   7.5   0.15826
July      1  2    0     0     51.2   7.5   0.15575
July      1  3    0     0     51.2   7.5   0.15532
July      1  4    0     0     51.2   7.5   0.15507
July      1  5    0     0     51.2   7.5   0.15345
July      1  6    0     0     51.2   7.5   0.15348
July      1  7    0     0     51.2   7.5   0.16195
July      1  8    0     5.5   45.7   0     0.17971
July      1  9    0     0     45.7   0     0.1847
July      1  10   0     0     45.7   0     0.18314
July      1  11   0     0     45.7   0     0.18206
July      1  12   0     0     45.7   0     0.18312
July      1  13   0     0     45.7   0     0.1791
July      1  14   0     0     45.7   0     0.1797
July      1  15   0     0     45.7   0     0.17989
July      1  16   0     0     45.7   0     0.16457
July      1  17   0     5.5   40.2   0     0.17924
July      1  18   0     0     40.2   7.5   0.17933
July      1  19   0     0     40.2   7.5   0.17389
July      1  20   0     0     40.2   7.5   0.16891
July      1  21   0     0     40.2   7.5   0.16406
July      1  22   0     0     40.2   7.5   0.16182
July      1  23   0     0     40.2   7.5   0.15879
July      1  24   0     0     40.2   7.5   0.15584
July      2  1    0     0     40.2   7.5   0.16167
July      2  2    0     0     40.2   7.5   0.16029
July      2  3    0     0     40.2   7.5   0.15828
July      2  4    0     0     40.2   7.5   0.15776
July      2  5    0     0     40.2   7.5   0.1574
July      2  6    0     0     40.2   7.5   0.15737
July      2  7    0     0     40.2   7.5   0.15769
July      2  8    0     0     40.2   7.5   0.15823
July      2  9    0     0     40.2   7.5   0.15797
July      2  10   0     0     40.2   7.5   0.15785
July      2  11   0     0     40.2   7.5   0.15127
July      2  12   0     0     40.2   7.5   0.12976
July      2  13   0     0     40.2   7.5   0.11997
July      2  14   0     0     40.2   7.5   0.12102
July      2  15   0     0     40.2   7.5   0.13488
July      2  16   0     0     40.2   7.5   0.14885
July      2  17   0     0     40.2   7.5   0.1575
July      2  18   0     0     40.2   7.5   0.15765
July      2  19   0     0     40.2   7.5   0.15836
July      2  20   0     0     40.2   7.5   0.15792
